id,prefixe,type_entite1,infixe,type_entite2,suffixe,expression_complete
299,de carpe au,NOUN,,ADJ,,"de carpe au [NOUN]  [ADJ] "
300,,NOUN,de,NOUN,en murette," [NOUN] de [NOUN] en murette"
301,être faire au,NOUN,,ADJ,avec,être faire au [NOUN]  [ADJ] avec
302,meurette au,NOUN,,ADJ,,"meurette au [NOUN]  [ADJ] "
303,employer de,NOUN,,ADJ,dans,employer de [NOUN]  [ADJ] dans
304,on parler de,NOUN,,ADJ,,"on parler de [NOUN]  [ADJ] "
305,,NOUN,de,NOUN,de rivière," [NOUN] de [NOUN] de rivière"
306,matelote de,NOUN,de,NOUN,,"matelote de [NOUN] de [NOUN] "
307,préparer au,NOUN,,ADJ,,"préparer au [NOUN]  [ADJ] "
308,se faire au,NOUN,de,NOUN,doux,se faire au [NOUN] de [NOUN] doux
309,,NOUN,de,NOUN,doux," [NOUN] de [NOUN] doux"
310,,NOUN,blanc de,PROPN,," [NOUN] blanc de [PROPN] "
311,,NOUN,de,NOUN,en meurette," [NOUN] de [NOUN] en meurette"
312,,NOUN,,ADJ,acidulé," [NOUN]  [ADJ] acidulé"
313,en goûter au,ADJ,,NOUN,,"en goûter au [ADJ]  [NOUN] "
314,,NOUN,de,NOUN,ne," [NOUN] de [NOUN] ne"
315,,NOUN,quant aux,NOUN,de castella," [NOUN] quant aux [NOUN] de castella"
316,,NOUN,de le,NOUN,Muromachi," [NOUN] de le [NOUN] Muromachi"
317,,NOUN,le plus,ADJ,," [NOUN] le plus [ADJ] "
318,cuisson couvrir de,NOUN,,ADJ,,"cuisson couvrir de [NOUN]  [ADJ] "
319,,NOUN,,ADJ,par," [NOUN]  [ADJ] par"
320,,NOUN,,ADJ,avec," [NOUN]  [ADJ] avec"
321,moule traditionnel de,ADJ,,NOUN,,"moule traditionnel de [ADJ]  [NOUN] "
322,à cause de,NOUN,,ADJ,de sucre,à cause de [NOUN]  [ADJ] de sucre
323,,ADJ,,NOUN,qui," [ADJ]  [NOUN] qui"
324,,ADJ,,NOUN,où," [ADJ]  [NOUN] où"
325,,NOUN,éponge très,ADJ,," [NOUN] éponge très [ADJ] "
326,gâteau être de,NOUN,,ADJ,,"gâteau être de [NOUN]  [ADJ] "
327,,NOUN,,ADJ,ne," [NOUN]  [ADJ] ne"
328,contenir pas de,NOUN,,ADJ,non plus,contenir pas de [NOUN]  [ADJ] non plus
329,petit,NOUN,,ADJ,sur,petit [NOUN]  [ADJ] sur
330,,NOUN,de ce,NOUN,," [NOUN] de ce [NOUN] "
331,,NOUN,en,NOUN,de crème anglais," [NOUN] en [NOUN] de crème anglais"
332,simple,NOUN,,ADJ,en forme de,simple [NOUN]  [ADJ] en forme de
333,castella au,NOUN,,ADJ,,"castella au [NOUN]  [ADJ] "
334,,NOUN,vert,ADJ,léger," [NOUN] vert [ADJ] léger"
335,très populaire en,PROPN,de,PROPN,dans,très populaire en [PROPN] de [PROPN] dans
336,se composer de,NOUN,jambon,NOUN,,"se composer de [NOUN] jambon [NOUN] "
337,,ADJ,,NOUN,coréen," [ADJ]  [NOUN] coréen"
338,garni de,NOUN,,ADJ,à,garni de [NOUN]  [ADJ] à
